ID,Row,UID,Gen,Geno,F1Num,Scale,Photo,biomass,max_width,width_0,width_10,width_20,width_30,width_40,width_50,width_60,width_70,width_80,width_90,width_100,length,length_width_ratio,shoulder_top,shoulder_bottom,tip_angle_top,tip_angle_bottom,above_tipangle_top,above_tipangle_bottom,created,modified,type
1033,1205,1053-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,1485.9633,41.9232,7.29,34.74,39.39,41.82,41.18,38.76,34.43,27.77,19.32,11.4,0.53,49.3152,1.18,42.4309,44.2263,51.70983681,35.75388725,0.3791,13.2478,10/22/24 9:31,10/22/24 11:17,binary
1034,1205,1054-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,1894.9005,38.5764,10.65,32.67,37.42,37.94,35.31,31.2,26.14,20.66,14.65,10.33,0.11,72.3044,1.87,51.291,43.6812,42.55758469,9.293308599,11.0536,20.4075,10/22/24 9:31,10/22/24 11:17,binary
1035,1205,1055-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,7644.6699,76.4544,6.76,67.58,76.14,73.71,68.01,57.76,44.99,30.73,21.65,14.89,0.63,157.7664,2.06,185.1126,188.9263,16.76520251,20.6348203,52.5118,40.6133,10/22/24 9:31,10/22/24 11:17,binary
1036,1205,1056-MAP-2024,F2,1592-ConicalxRound-F2,1592,943,1,4364.5568,63.494,41.34,59.47,62.86,57.13,46.64,34.13,22.68,16.43,13.04,9.33,0.53,125.186,1.97,101.2027,47.989,20.58926016,9.314779754,53.0114,2.7303,10/22/24 9:31,10/22/24 11:17,binary
1037,1205,1057-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,2230.6638,52.8054,16.02,41.32,47.96,52.07,52.7,50.06,45.01,37,26.56,14.55,1.69,57.8646,1.1,56.5678,67.1882,51.84277341,41.18592517,0.511,17.3525,10/22/24 9:31,10/22/24 11:17,binary
1038,1205,1058-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,875.9505,42.4512,7.81,17.32,17.74,14.78,13.2,10.24,8.76,7.29,6.02,4.44,0.32,80.9952,1.91,65.3358,0,39.94275147,22.5205656,1.1263,18.0541,10/22/24 9:31,10/22/24 11:17,binary
1039,1205,1059-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,4139.6683,58.1575,8.92,56.87,56.76,50.42,42.35,31.5,23.86,18.06,13.54,12.69,0.11,124.7,2.14,64.5185,47.8313,13.3091787,23.01244504,26.1056,71.6372,10/22/24 9:31,10/22/24 11:17,binary
1040,1205,1060-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,6997.2822,76.2042,4.43,72.3,75.15,64.82,46.8,29.62,21.29,16.65,12.12,12.23,0.63,184.5554,2.42,211.5073,149.2738,4.899092454,24.39768633,105.1593,41.9482,10/22/24 9:31,10/22/24 11:17,binary
1041,1205,1061-MAP-2024,F2,1592-ConicalxRound-F2,1592,953,1,5737.865,61.9959,34.72,59.48,60.53,53.81,45.84,38.39,26.64,23.29,20.77,15.63,0.31,154.203,2.49,51.0696,88.3842,22.42916866,18.79988516,35.8621,65.3088,10/22/24 9:31,10/22/24 11:17,binary
1042,1205,1062-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,1219.3808,49.665,9.68,34.08,34.29,28.06,14.94,7.31,6.02,5.8,6.13,6.56,0.21,77.185,1.55,38.2859,21.4484,37.73675526,17.83501494,9.6148,26.3598,10/22/24 9:31,10/22/24 11:17,binary
